message;severity;node;stamp;location
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtlesim1.sim1";"1758613229.600839910";"./src/turtle_frame.cpp:spawnTurtle:209"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtlesim2.sim2";"1758613229.597198861";"./src/turtle_frame.cpp:spawnTurtle:209"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtlesim3.sim3";"1758613229.595008528";"./src/turtle_frame.cpp:spawnTurtle:209"
"Starting turtlesim with node name /turtlesim1/sim1";"20";"turtlesim1.sim1";"1758613229.581292600";"./src/turtle_frame.cpp:TurtleFrame:112"
"Starting turtlesim with node name /turtlesim2/sim2";"20";"turtlesim2.sim2";"1758613229.579170209";"./src/turtle_frame.cpp:TurtleFrame:112"
"Starting turtlesim with node name /turtlesim3/sim3";"20";"turtlesim3.sim3";"1758613229.578920041";"./src/turtle_frame.cpp:TurtleFrame:112"
"Oh no! I hit the wall! (Clamping from [x=4.051012, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.988765396";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.035839, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.972890739";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.051012, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.956651415";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.020667, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.956531762";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.035839, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.940227442";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.005495, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.940008512";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.124129, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.924704160";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.020667, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.924383550";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.990322, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.923976246";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.975150, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.908406387";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.005495, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.908406520";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.108956, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.908363450";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.093784, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.892851271";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.990322, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.892835221";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.959978, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.892170118";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.078612, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.876824789";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.944805, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.876647851";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.975150, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.876648597";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.063439, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.860810257";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.959978, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.860572337";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.929633, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.860220562";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.914461, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.844876313";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.048267, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.844703665";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.944805, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.843994345";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.033095, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.829157623";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.899288, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.828347726";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.929633, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.827875591";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.914461, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.812421268";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.017923, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.812292768";"./src/turtle.cpp:update:260"
